mvid,llid,dt,warning,lat,lng,spd_knots,spd_ms,bearing,mag_var
732,147,2022-08-30 13:41:57 Z,A,52.4784445,13.419592166666666,0.216,0.111119904,,
733,147,2022-08-30 13:41:58 Z,A,52.478448666666665,13.419599,0.143,0.073565492,,
734,147,2022-08-30 13:41:59 Z,A,52.47845433333333,13.419600333333333,0.255,0.13118322000000002,,
735,148,2022-08-30 13:42:00 Z,A,52.478455833333335,13.419600333333333,0.154,0.079224376,,
736,148,2022-08-30 13:42:01 Z,A,52.47845433333333,13.419599999999999,0.161,0.082825484,,
737,148,2022-08-30 13:42:02 Z,A,52.47844833333333,13.419599666666667,0.231,0.118836564,,
738,148,2022-08-30 13:42:03 Z,A,52.478449833333336,13.419599,0.173,0.088998812,,
739,148,2022-08-30 13:42:04 Z,A,52.47844666666667,13.419596,0.246,0.126553224,,
740,149,2022-08-30 13:42:05 Z,A,52.47844383333333,13.419596166666667,0.195,0.10031658,,
741,149,2022-08-30 13:42:06 Z,A,52.47844383333333,13.419594833333333,0.244,0.12552433600000001,,
742,149,2022-08-30 13:42:07 Z,A,52.478441833333335,13.419595,0.168,0.08642659200000001,,
743,149,2022-08-30 13:42:08 Z,A,52.47843733333333,13.419601,0.686,0.352908584,,
744,149,2022-08-30 13:42:09 Z,A,52.47843783333333,13.419600333333333,0.288,0.148159872,,
745,150,2022-08-30 13:42:10 Z,A,52.4784325,13.419590666666666,0.144,0.074079936,,
746,150,2022-08-30 13:42:11 Z,A,52.4784285,13.419586333333333,0.147,0.075623268,,
747,150,2022-08-30 13:42:12 Z,A,52.478444833333334,13.4195875,0.039,0.020063316,,
748,150,2022-08-30 13:42:13 Z,A,52.47844583333333,13.419589833333333,0.476,0.244875344,,
749,150,2022-08-30 13:42:14 Z,A,52.478440666666664,13.419589333333333,0.483,0.248476452,,
750,151,2022-08-30 13:42:15 Z,A,52.478437666666665,13.419594166666666,0.234,0.12037989600000001,,
751,151,2022-08-30 13:42:16 Z,A,52.47844216666667,13.419597333333334,0.462,0.237673128,,
752,151,2022-08-30 13:42:17 Z,A,52.478440666666664,13.419598333333333,0.710,0.36525524,,
753,151,2022-08-30 13:42:18 Z,A,52.478445,13.419600166666667,0.441,0.226869804,,
754,151,2022-08-30 13:42:19 Z,A,52.47844083333333,13.419599333333334,0.548,0.28191531200000003,,
755,152,2022-08-30 13:42:20 Z,A,52.4784365,13.419603833333333,1.088,0.559715072,,
756,152,2022-08-30 13:42:21 Z,A,52.478433,13.419611666666666,1.241,0.638425004,,
757,152,2022-08-30 13:42:22 Z,A,52.47843316666667,13.419614666666666,0.377,0.193945388,,
758,152,2022-08-30 13:42:23 Z,A,52.47843566666667,13.419618333333334,0.500,0.257222,,
759,152,2022-08-30 13:42:24 Z,A,52.47843483333333,13.419621833333334,0.624,0.321013056,,
