mvid,llid,dt,warning,lat,lng,spd_knots,spd_ms,bearing,mag_var
212,42,2022-10-27 11:20:33 Z,A,49.501912,5.942544166666667,1.922,0.988761368,,
213,42,2022-10-27 11:20:34 Z,A,49.5019075,5.942534333333334,1.663,0.8555203720000001,,
214,42,2022-10-27 11:20:35 Z,A,49.501905666666666,5.942521833333333,2.170,1.11634348,293.50,
215,43,2022-10-27 11:20:36 Z,A,49.5019085,5.942504666666666,2.418,1.243925592,296.62,
216,43,2022-10-27 11:20:37 Z,A,49.501913,5.942483666666667,3.022,1.554649768,299.78,
217,43,2022-10-27 11:20:38 Z,A,49.50191316666667,5.9424645,2.621,1.348357724,297.11,
218,43,2022-10-27 11:20:39 Z,A,49.501909833333336,5.9424525,1.748,0.899248112,,
219,43,2022-10-27 11:20:40 Z,A,49.501904333333336,5.9424405,1.446,0.743886024,,
220,44,2022-10-27 11:20:41 Z,A,49.50190166666667,5.942428333333333,1.334,0.686268296,,
221,44,2022-10-27 11:20:42 Z,A,49.50189783333333,5.942420666666667,0.949,0.488207356,,
222,44,2022-10-27 11:20:43 Z,A,49.50189983333333,5.9424065,1.165,0.59932726,,
223,44,2022-10-27 11:20:44 Z,A,49.50189733333333,5.9423975,1.006,0.517530664,,
224,44,2022-10-27 11:20:45 Z,A,49.501891,5.942386833333334,1.326,0.682152744,,
225,45,2022-10-27 11:20:46 Z,A,49.501899,5.942369,1.079,0.555085076,,
226,45,2022-10-27 11:20:47 Z,A,49.501909166666664,5.942343833333333,1.970,1.01345468,,
227,45,2022-10-27 11:20:48 Z,A,49.50190816666667,5.9423215,2.707,1.392599908,,
228,45,2022-10-27 11:20:49 Z,A,49.501917,5.9423018333333335,1.935,0.9954491400000001,,
229,45,2022-10-27 11:20:50 Z,A,49.501931166666665,5.942276333333333,1.949,1.002651356,,
230,46,2022-10-27 11:20:51 Z,A,49.501947666666666,5.942244666666666,2.110,1.0854768399999999,,
231,46,2022-10-27 11:20:52 Z,A,49.50194966666667,5.942227666666667,1.650,0.8488325999999999,,
232,46,2022-10-27 11:20:53 Z,A,49.5019435,5.9422125,1.474,0.758290456,,
233,46,2022-10-27 11:20:54 Z,A,49.501954833333336,5.9421843333333335,1.746,0.898219224,,
234,46,2022-10-27 11:20:55 Z,A,49.501949,5.942159666666667,1.867,0.960466948,,
235,47,2022-10-27 11:20:56 Z,A,49.50192716666667,5.9421401666666664,1.898,0.976414712,273.99,
236,47,2022-10-27 11:20:57 Z,A,49.50191016666667,5.942127666666667,0.920,0.47328848,,
237,47,2022-10-27 11:20:58 Z,A,49.50190033333333,5.942116166666667,1.146,0.589552824,,
238,47,2022-10-27 11:20:59 Z,A,49.5018985,5.942096833333333,1.168,0.6008705919999999,,
239,47,2022-10-27 11:21:00 Z,A,49.501901,5.942081833333333,0.654,0.33644637600000005,,
240,48,2022-10-27 11:21:01 Z,A,49.5019115,5.942058,1.123,0.577720612,,
241,48,2022-10-27 11:21:02 Z,A,49.5019365,5.942019,1.934,0.994934696,298.25,
242,48,2022-10-27 11:21:03 Z,A,49.501955,5.941985166666667,2.208,1.1358923520000002,299.23,
243,48,2022-10-27 11:21:04 Z,A,49.50197166666667,5.941947166666667,2.447,1.2588444680000002,297.67,
244,48,2022-10-27 11:21:05 Z,A,49.50198183333333,5.941917,2.356,1.212030064,298.36,
245,49,2022-10-27 11:21:06 Z,A,49.50199716666667,5.94189,2.040,1.0494657600000001,302.48,
246,49,2022-10-27 11:21:07 Z,A,49.5020135,5.941863333333333,2.117,1.0890779480000001,310.03,
247,49,2022-10-27 11:21:08 Z,A,49.50202766666666,5.941838166666667,2.236,1.1502967840000002,316.37,
248,49,2022-10-27 11:21:09 Z,A,49.50204016666667,5.9418165,2.835,1.45844874,319.80,
249,49,2022-10-27 11:21:10 Z,A,49.502045333333335,5.941797,1.705,0.8771270200000001,,
250,50,2022-10-27 11:21:11 Z,A,49.50205233333333,5.9417855,1.585,0.81539374,,
251,50,2022-10-27 11:21:12 Z,A,49.502055,5.941762333333333,1.458,0.750059352,,
252,50,2022-10-27 11:21:13 Z,A,49.502059333333335,5.9417435,1.426,0.733597144,,
253,50,2022-10-27 11:21:14 Z,A,49.502067333333336,5.941716166666667,1.815,0.93371586,318.40,
254,50,2022-10-27 11:21:15 Z,A,49.50207866666667,5.9416945,1.686,0.867352584,321.60,
255,51,2022-10-27 11:21:16 Z,A,49.502096,5.941654333333333,2.762,1.420894328,319.81,
256,51,2022-10-27 11:21:17 Z,A,49.5021045,5.941618666666667,2.884,1.483656496,312.89,
257,51,2022-10-27 11:21:18 Z,A,49.502112333333336,5.9415885,2.918,1.5011475920000001,310.93,
258,51,2022-10-27 11:21:19 Z,A,49.50211983333333,5.941565833333334,3.169,1.630273036,312.28,
259,51,2022-10-27 11:21:20 Z,A,49.50211983333333,5.9415415,2.924,1.504234256,306.81,
260,52,2022-10-27 11:21:21 Z,A,49.50211866666667,5.941526166666667,1.826,0.9393747440000001,,
261,52,2022-10-27 11:21:22 Z,A,49.5021235,5.941508,1.974,1.015512456,306.22,
262,52,2022-10-27 11:21:23 Z,A,49.502125166666666,5.9414955,1.772,0.911594768,,
263,52,2022-10-27 11:21:24 Z,A,49.5021285,5.9414739999999995,2.192,1.1276612480000001,307.55,
264,52,2022-10-27 11:21:25 Z,A,49.502125666666664,5.941464333333333,1.407,0.723822708,,
265,53,2022-10-27 11:21:26 Z,A,49.502130333333334,5.9414445,1.961,1.0088246840000001,308.61,
266,53,2022-10-27 11:21:27 Z,A,49.50213516666667,5.941429666666666,1.933,0.9944202520000001,314.34,
267,53,2022-10-27 11:21:28 Z,A,49.502135333333335,5.941413166666667,2.058,1.058725752,,
268,53,2022-10-27 11:21:29 Z,A,49.5021425,5.941389,2.658,1.367392152,307.39,
269,53,2022-10-27 11:21:30 Z,A,49.50214483333333,5.94137,2.809,1.445073196,301.43,
270,54,2022-10-27 11:21:31 Z,A,49.50214316666667,5.9413583333333335,2.146,1.103996824,,
271,54,2022-10-27 11:21:32 Z,A,49.502145666666664,5.941348666666666,1.786,0.918796984,,
272,54,2022-10-27 11:21:33 Z,A,49.5021565,5.9413453333333335,1.839,0.946062516,308.38,
273,54,2022-10-27 11:21:34 Z,A,49.502162,5.941334833333333,2.368,1.218203392,303.12,
274,54,2022-10-27 11:21:35 Z,A,49.502167666666665,5.941323166666667,2.223,1.143609012,305.82,
275,55,2022-10-27 11:21:36 Z,A,49.5021725,5.941298333333333,2.985,1.5356153399999999,299.58,
