rid,time,satnum,elev,azim,SNR
1495,11:37:31 Z,04,19,071,33
1495,11:37:31 Z,05,10,303,42
1495,11:37:31 Z,06,36,210,42
1495,11:37:31 Z,07,62,146,37
1495,11:37:31 Z,09,56,067,41
1495,11:37:31 Z,11,47,258,38
1495,11:37:31 Z,16,13,045,38
1495,11:37:31 Z,20,46,298,40
1495,11:37:31 Z,29,05,329,28
1495,11:37:31 Z,30,35,189,41
1495,11:37:31 Z,26,01,019,
1496,11:37:32 Z,02,09,327,34
1496,11:37:32 Z,04,19,071,37
1496,11:37:32 Z,05,10,303,37
1496,11:37:32 Z,06,36,210,39
1496,11:37:32 Z,07,62,146,39
1496,11:37:32 Z,09,56,067,43
1496,11:37:32 Z,11,47,258,32
1496,11:37:32 Z,16,13,045,39
1496,11:37:32 Z,20,46,298,38
1496,11:37:32 Z,29,05,329,32
1496,11:37:32 Z,30,35,189,39
1496,11:37:32 Z,26,01,019,
1497,11:37:33 Z,02,09,327,36
1497,11:37:33 Z,04,19,071,29
1497,11:37:33 Z,06,36,210,42
1497,11:37:33 Z,07,62,146,38
1497,11:37:33 Z,09,56,067,43
1497,11:37:33 Z,11,47,258,30
1497,11:37:33 Z,20,46,298,36
1497,11:37:33 Z,29,05,329,33
1497,11:37:33 Z,30,35,189,41
1497,11:37:33 Z,26,01,019,
1498,11:37:34 Z,02,09,327,41
1498,11:37:34 Z,04,19,071,39
1498,11:37:34 Z,05,10,303,39
1498,11:37:34 Z,06,36,210,41
1498,11:37:34 Z,07,62,146,38
1498,11:37:34 Z,09,56,067,42
1498,11:37:34 Z,11,47,258,32
1498,11:37:34 Z,16,13,045,38
1498,11:37:34 Z,20,46,298,43
1498,11:37:34 Z,29,05,329,36
1498,11:37:34 Z,30,35,189,41
1498,11:37:34 Z,26,01,019,
1499,11:37:35 Z,02,09,327,34
1499,11:37:35 Z,04,19,071,32
1499,11:37:35 Z,05,10,303,45
1499,11:37:35 Z,06,36,210,30
1499,11:37:35 Z,07,62,146,28
1499,11:37:35 Z,11,47,258,37
1499,11:37:35 Z,16,13,045,34
1499,11:37:35 Z,20,46,298,40
1499,11:37:35 Z,26,01,019,26
1499,11:37:35 Z,29,05,329,36
1499,11:37:35 Z,30,35,189,36
1500,11:37:36 Z,02,09,327,35
1500,11:37:36 Z,04,19,071,41
1500,11:37:36 Z,05,10,303,34
1500,11:37:36 Z,06,36,210,35
1500,11:37:36 Z,07,62,146,28
1500,11:37:36 Z,09,56,067,36
1500,11:37:36 Z,11,47,258,28
1500,11:37:36 Z,16,13,045,41
1500,11:37:36 Z,20,46,298,29
1500,11:37:36 Z,26,01,019,33
1500,11:37:36 Z,30,35,189,29
1501,11:37:37 Z,02,09,327,38
1501,11:37:37 Z,04,19,071,38
1501,11:37:37 Z,05,10,303,37
1501,11:37:37 Z,06,36,210,40
1501,11:37:37 Z,07,62,146,36
1501,11:37:37 Z,09,56,067,39
1501,11:37:37 Z,11,47,258,36
1501,11:37:37 Z,16,13,045,32
1501,11:37:37 Z,20,46,298,39
1501,11:37:37 Z,26,01,019,28
1501,11:37:37 Z,29,05,329,30
1501,11:37:37 Z,30,35,189,38
1502,11:37:38 Z,02,09,327,45
1502,11:37:38 Z,04,19,071,36
1502,11:37:38 Z,05,10,303,44
1502,11:37:38 Z,06,36,210,38
1502,11:37:38 Z,07,62,146,33
1502,11:37:38 Z,09,56,067,37
1502,11:37:38 Z,11,47,258,42
1502,11:37:38 Z,16,13,045,29
1502,11:37:38 Z,20,46,298,44
1502,11:37:38 Z,29,05,329,41
1502,11:37:38 Z,30,35,189,42
1503,11:37:39 Z,02,09,327,40
1503,11:37:39 Z,04,19,071,38
1503,11:37:39 Z,05,10,303,38
1503,11:37:39 Z,06,36,210,40
1503,11:37:39 Z,07,62,146,42
1503,11:37:39 Z,09,56,067,40
1503,11:37:39 Z,11,47,258,41
1503,11:37:39 Z,16,13,045,35
1503,11:37:39 Z,20,46,298,42
1503,11:37:39 Z,29,05,329,38
1503,11:37:39 Z,30,35,189,41
1503,11:37:39 Z,26,01,019,
1504,11:37:40 Z,02,09,327,44
1504,11:37:40 Z,04,19,071,37
1504,11:37:40 Z,05,10,303,45
1504,11:37:40 Z,06,36,210,40
1504,11:37:40 Z,07,62,146,39
1504,11:37:40 Z,09,56,067,40
1504,11:37:40 Z,11,47,258,39
1504,11:37:40 Z,16,13,045,41
1504,11:37:40 Z,20,46,298,37
1504,11:37:40 Z,26,01,019,30
1504,11:37:40 Z,29,05,329,36
1504,11:37:40 Z,30,35,189,40
1505,11:37:41 Z,02,09,327,44
1505,11:37:41 Z,04,19,071,38
1505,11:37:41 Z,05,10,303,44
1505,11:37:41 Z,06,36,210,37
1505,11:37:41 Z,07,62,146,40
1505,11:37:41 Z,09,56,067,34
1505,11:37:41 Z,11,47,258,41
1505,11:37:41 Z,16,13,045,27
1505,11:37:41 Z,20,46,298,32
1505,11:37:41 Z,29,05,329,47
1505,11:37:41 Z,30,35,189,39
1506,11:37:42 Z,02,09,327,43
1506,11:37:42 Z,04,19,071,38
1506,11:37:42 Z,05,10,303,43
1506,11:37:42 Z,06,36,210,34
1506,11:37:42 Z,07,62,144,39
1506,11:37:42 Z,09,55,067,37
1506,11:37:42 Z,11,47,257,45
1506,11:37:42 Z,16,13,045,31
1506,11:37:42 Z,20,47,298,36
1506,11:37:42 Z,29,05,327,42
1506,11:37:42 Z,30,35,189,39
1506,11:37:42 Z,26,01,019,
1507,11:37:43 Z,02,09,327,45
1507,11:37:43 Z,04,19,071,30
1507,11:37:43 Z,05,10,303,34
1507,11:37:43 Z,06,36,210,37
1507,11:37:43 Z,07,62,144,37
1507,11:37:43 Z,09,55,067,38
1507,11:37:43 Z,11,47,257,44
1507,11:37:43 Z,16,13,045,27
1507,11:37:43 Z,20,47,298,40
1507,11:37:43 Z,29,05,327,45
1507,11:37:43 Z,30,35,189,38
1507,11:37:43 Z,13,00,000,
1507,11:37:43 Z,26,01,019,
1508,11:37:44 Z,02,09,327,46
1508,11:37:44 Z,04,19,071,34
1508,11:37:44 Z,06,36,210,40
1508,11:37:44 Z,07,62,144,34
1508,11:37:44 Z,09,55,067,36
1508,11:37:44 Z,11,47,257,44
1508,11:37:44 Z,20,47,298,40
1508,11:37:44 Z,29,05,327,48
1508,11:37:44 Z,30,35,189,41
1508,11:37:44 Z,13,00,000,
1508,11:37:44 Z,26,01,019,
1509,11:37:45 Z,02,09,327,32
1509,11:37:45 Z,04,19,071,36
1509,11:37:45 Z,05,10,303,29
1509,11:37:45 Z,06,36,210,44
1509,11:37:45 Z,07,62,144,36
1509,11:37:45 Z,09,55,067,38
1509,11:37:45 Z,11,47,257,38
1509,11:37:45 Z,20,47,298,43
1509,11:37:45 Z,29,05,327,33
1509,11:37:45 Z,30,35,189,41
1509,11:37:45 Z,13,00,000,
1509,11:37:45 Z,16,13,045,
1509,11:37:45 Z,26,01,019,
1510,11:37:46 Z,02,09,327,26
1510,11:37:46 Z,04,19,071,33
1510,11:37:46 Z,06,36,210,41
1510,11:37:46 Z,07,62,144,38
1510,11:37:46 Z,09,55,067,37
1510,11:37:46 Z,11,47,257,41
1510,11:37:46 Z,16,13,045,27
1510,11:37:46 Z,20,47,298,39
1510,11:37:46 Z,30,35,189,40
1510,11:37:46 Z,13,00,000,
1510,11:37:46 Z,26,01,019,
1511,11:37:47 Z,04,19,071,34
1511,11:37:47 Z,06,36,210,43
1511,11:37:47 Z,07,62,144,34
1511,11:37:47 Z,09,55,067,37
1511,11:37:47 Z,11,47,257,42
1511,11:37:47 Z,20,47,298,37
1511,11:37:47 Z,30,35,189,42
1511,11:37:47 Z,05,10,303,
1511,11:37:47 Z,13,00,000,
1511,11:37:47 Z,26,01,019,
1511,11:37:47 Z,29,05,327,
1512,11:37:48 Z,04,19,071,29
1512,11:37:48 Z,06,36,210,43
1512,11:37:48 Z,07,62,144,34
1512,11:37:48 Z,09,55,067,36
1512,11:37:48 Z,11,47,257,41
1512,11:37:48 Z,16,13,045,30
1512,11:37:48 Z,20,47,298,39
1512,11:37:48 Z,30,35,189,40
1512,11:37:48 Z,02,09,327,
1512,11:37:48 Z,05,10,303,
1512,11:37:48 Z,13,00,000,
1512,11:37:48 Z,26,01,019,
1512,11:37:48 Z,29,05,327,
1513,11:37:49 Z,04,19,071,32
1513,11:37:49 Z,05,10,303,27
1513,11:37:49 Z,06,36,210,43
1513,11:37:49 Z,07,62,144,30
1513,11:37:49 Z,09,55,067,33
1513,11:37:49 Z,11,47,257,41
1513,11:37:49 Z,20,47,298,43
1513,11:37:49 Z,30,35,189,40
1513,11:37:49 Z,02,09,327,
1513,11:37:49 Z,13,00,000,
1513,11:37:49 Z,26,01,019,
1513,11:37:49 Z,29,05,327,
