svid,llid,satsys,satnum,elev,azim,SNR
220,0,GLN,88,03,331,
221,0,GLN,87,47,316,
222,0,GLN,71,76,001,
223,0,GLN,72,42,247,
224,0,GPS,01,31,142,
225,0,GPS,03,59,073,
226,0,GPS,04,69,170,
227,0,GPS,06,29,307,
228,0,GPS,09,36,210,
229,0,GPS,12,00,000,
230,0,GLN,70,28,050,
231,0,GLN,86,57,188,
232,0,GLN,73,00,000,
233,0,GLN,79,10,008,
234,0,GLN,88,03,331,
235,0,GLN,87,47,316,
236,0,GLN,71,76,001,
237,0,GLN,72,42,247,
238,0,GPS,01,31,142,
239,0,GPS,03,59,073,
240,0,GPS,04,69,170,
241,0,GPS,06,29,307,
242,0,GPS,09,36,210,
243,0,GPS,12,00,000,
244,0,GLN,70,28,050,
245,0,GLN,86,57,188,
246,0,GLN,73,00,000,
247,0,GLN,79,10,008,
248,0,GLN,88,03,331,
249,0,GLN,87,47,316,
250,0,GLN,71,76,001,
251,0,GLN,72,42,247,
252,0,GPS,01,31,142,
253,0,GPS,03,59,073,
254,0,GPS,04,69,170,
255,0,GPS,06,29,307,
256,0,GPS,09,36,210,
257,0,GPS,12,00,000,
258,0,GLN,70,28,050,
259,0,GLN,86,57,188,
260,0,GLN,73,00,000,
261,0,GLN,79,10,008,
262,0,GLN,88,03,331,
263,0,GLN,87,47,316,
264,0,GLN,71,76,001,
265,0,GLN,72,42,247,
266,0,GPS,01,31,142,
267,0,GPS,03,59,073,
268,0,GPS,04,69,170,
269,0,GPS,06,29,307,
270,0,GPS,09,36,210,
271,0,GPS,12,00,000,
272,0,GLN,70,28,050,
273,0,GLN,86,57,188,
274,0,GLN,73,00,000,
275,0,GLN,79,10,008,
276,0,GLN,88,03,331,
277,0,GLN,87,47,316,
278,0,GLN,71,76,001,
279,0,GLN,72,42,247,
280,0,GPS,01,31,142,
281,0,GPS,03,59,073,
282,0,GPS,04,69,170,
283,0,GPS,06,29,307,
284,0,GPS,09,36,210,
285,0,GPS,12,00,000,
286,0,GLN,70,28,050,
287,0,GLN,86,57,188,
288,0,GLN,73,00,000,
289,0,GLN,79,10,008,
290,0,GLN,88,03,331,
291,0,GLN,87,47,316,
292,0,GLN,71,76,001,
293,0,GLN,72,42,247,
294,0,GPS,01,31,142,
295,0,GPS,03,59,073,
296,0,GPS,04,69,170,
297,0,GPS,06,29,307,
298,0,GPS,09,36,210,
299,0,GPS,12,00,000,
300,0,GLN,70,28,050,
301,0,GLN,86,57,188,
302,0,GLN,73,00,000,
303,0,GLN,79,10,008,
304,0,GLN,88,03,331,
305,0,GLN,87,47,316,
306,0,GLN,71,76,001,
307,0,GLN,72,42,247,
308,0,GPS,01,31,142,
309,0,GPS,03,59,073,
310,0,GPS,04,69,170,
311,0,GPS,06,29,307,
312,0,GPS,09,36,210,
313,0,GPS,12,00,000,
314,0,GLN,70,28,050,
315,0,GLN,86,57,188,
316,0,GLN,73,00,000,
317,0,GLN,79,10,008,
318,0,GLN,88,03,331,
319,0,GLN,87,47,316,
320,0,GLN,71,76,001,
321,0,GLN,72,42,247,
322,0,GPS,01,31,142,
323,0,GPS,03,59,073,
324,0,GPS,04,69,170,
325,0,GPS,06,29,307,
326,0,GPS,09,36,210,
327,0,GPS,12,00,000,
328,0,GLN,70,28,050,
329,0,GLN,86,57,188,
330,0,GLN,73,00,000,
331,0,GLN,79,10,008,
332,0,GLN,88,03,331,
333,0,GLN,87,47,316,
334,0,GLN,71,76,001,
335,0,GLN,72,42,247,
336,0,GPS,01,31,142,
337,0,GPS,03,59,073,
338,0,GPS,04,69,170,
339,0,GPS,06,29,307,
340,0,GPS,09,36,210,
341,0,GPS,12,00,000,
342,0,GLN,70,28,050,
343,0,GLN,86,57,188,
344,0,GLN,73,00,000,
345,0,GLN,79,10,008,
346,0,GLN,88,03,331,
347,0,GLN,87,47,316,
348,0,GLN,71,76,001,
