rid,date,time,lat,lng
1289,2022-08-30,15:16:19 Z,52.4674915,13.41099
1290,2022-08-30,15:16:24 Z,52.467490166666664,13.410993333333334
1291,2022-08-30,15:16:29 Z,52.4674905,13.410994333333333
1292,2022-08-30,15:16:34 Z,52.46749033333333,13.410994333333333
1293,2022-08-30,15:16:39 Z,52.46749066666667,13.4109945
1294,2022-08-30,15:16:44 Z,52.46749066666667,13.4109925
1295,2022-08-30,15:16:49 Z,52.467491,13.410991
1296,2022-08-30,15:16:54 Z,52.467491333333335,13.410988
1297,2022-08-30,15:16:59 Z,52.46749116666667,13.410988333333334
1298,2022-08-30,15:17:04 Z,52.467491333333335,13.410988
1299,2022-08-30,15:17:09 Z,52.46749166666667,13.410986
1300,2022-08-30,15:17:14 Z,52.467492666666665,13.410986
1301,2022-08-30,15:17:19 Z,52.467492666666665,13.4109865
1302,2022-08-30,15:17:24 Z,52.46749233333333,13.4109895
1303,2022-08-30,15:17:29 Z,52.467492,13.4109915
1304,2022-08-30,15:17:34 Z,52.467492,13.4109895
1305,2022-08-30,15:17:39 Z,52.467492,13.4109885
1306,2022-08-30,15:17:44 Z,52.46749166666667,13.410990166666666
1307,2022-08-30,15:17:49 Z,52.467492166666666,13.41099
1308,2022-08-30,15:17:54 Z,52.46749233333333,13.410992166666666
1309,2022-08-30,15:17:59 Z,52.4674925,13.410989833333334
1310,2022-08-30,15:18:04 Z,52.46749233333333,13.410988666666666
1311,2022-08-30,15:18:09 Z,52.467492,13.410988833333333
1312,2022-08-30,15:18:14 Z,52.4674925,13.410988833333333
1313,2022-08-30,15:18:19 Z,52.46749333333333,13.410988333333334
1314,2022-08-30,15:18:24 Z,52.46749416666667,13.410990333333334
1315,2022-08-30,15:18:29 Z,52.467493833333336,13.410988166666666
1316,2022-08-30,15:18:34 Z,52.467493,13.410988333333334
1317,2022-08-30,15:18:39 Z,52.467492166666666,13.410988333333334
1318,2022-08-30,15:18:44 Z,52.467491833333334,13.4109885
1319,2022-08-30,15:18:49 Z,52.4674915,13.410988166666666
1320,2022-08-30,15:18:54 Z,52.46749116666667,13.410988
1321,2022-08-30,15:18:59 Z,52.46749066666667,13.410987833333333
1322,2022-08-30,15:19:04 Z,52.46749,13.410986333333334
1323,2022-08-30,15:19:09 Z,52.46748933333333,13.410986166666667
1324,2022-08-30,15:19:14 Z,52.46748866666667,13.410985833333333
1325,2022-08-30,15:19:19 Z,52.4674875,13.410985666666667
1326,2022-08-30,15:19:24 Z,52.467487166666665,13.410986666666666
1327,2022-08-30,15:19:29 Z,52.4674875,13.410987333333333
1328,2022-08-30,15:19:34 Z,52.467487166666665,13.410989166666667
1329,2022-08-30,15:19:39 Z,52.467487166666665,13.410991166666667
1330,2022-08-30,15:19:44 Z,52.46748766666666,13.410990833333333
1331,2022-08-30,15:19:49 Z,52.46748683333333,13.410991166666667
1332,2022-08-30,15:19:54 Z,52.467486666666666,13.410992333333333
1333,2022-08-30,15:19:59 Z,52.46748683333333,13.410992
1334,2022-08-30,15:20:04 Z,52.46748683333333,13.4109905
1335,2022-08-30,15:20:09 Z,52.46748683333333,13.410989833333334
1336,2022-08-30,15:20:14 Z,52.46748683333333,13.410986833333334
1337,2022-08-30,15:20:19 Z,52.467488333333336,13.410985833333333
1338,2022-08-30,15:20:24 Z,52.46748766666666,13.4109805
1339,2022-08-30,15:20:29 Z,52.467487166666665,13.410973833333333
1340,2022-08-30,15:20:34 Z,52.46748616666667,13.4109705
